Speed,Distance,Obs Width,Obs Height,Obs Gap,Player Mode,Obs Above Ground,Action,Q Value
63,36,17,105,5,-1,0,down,6.650526498512153e-7
63,31,17,105,5,-1,0,nothing,-0.00005335335248711261
63,26,17,105,5,-1,0,down,-0.0003198136330731067
63,22,17,105,5,-1,0,nothing,-0.005000000000000001
63,17,17,105,5,-1,0,down,-0.1355
63,12,17,105,5,-1,0,release,-1.355
63,15,25,90,5,2,0,up,0.004873619026742382
63,32,25,90,6,1,0,up,-0.000049373008603507565
63,28,25,90,6,2,0,down,-0.0005000000000000001
63,23,25,90,6,1,0,nothing,-0.0027034201377081446
63,18,25,90,6,1,0,up,-0.10582087277325773
63,13,25,90,6,-1,0,up,-2.8476639500000003
62,40,51,105,6,0,0,nothing,-0.0001561372080747891
62,38,51,105,6,0,0,up,-0.0000035372927940531843
62,34,51,105,6,2,0,nothing,-0.000053014345095307586
63,29,51,105,6,2,0,up,-0.00010511053480200268
63,24,51,105,6,2,0,up,-0.0007544091506489552
63,19,51,105,6,2,0,down,-0.039705443395267555
63,14,51,105,6,1,0,nothing,-0.8057567157274805
63,10,51,105,6,1,0,up,-1.4999818458472296
62,39,25,90,6,-1,0,nothing,2.2029055991171147e-7
63,34,25,90,6,-1,0,down,-0.00010389820951164
63,24,25,90,6,-1,0,up,-0.020475500000000008
63,15,25,90,6,-1,0,up,-3.8561603772519497
63,19,25,90,5,2,0,nothing,-0.007006637017072625
63,-5,25,90,5,1,0,nothing,-0.009772414058309614
63,40,51,105,6,1,0,up,-0.0082581663582909
63,34,51,105,6,-1,0,release,-0.00007188670058206416
63,29,51,105,6,0,0,down,-0.0007810969924660061
63,24,51,105,6,-1,0,release,-0.003031660224325138
