velocity,distance,width,jumpVelocity,action,q_value
20,5,25,0,duck,2.243456037260899
19,5,25,0,duck,2.942883195200201
18,5,25,0,jump,3.1200394220141203
16,5,25,0,jump,3.1080142974156906
28,6,25,0,jump,-0.05247465874004004
27,6,25,-1,duck,-0.054295744196373286
18,6,25,-1,duck,0.011798290000000003
14,6,25,-1,jump,5.01008374101946
13,6,25,-1,do_nothing,5.706409389674497
8,6,25,1,jump,16.015522462740535
-3,6,25,1,jump,-0.1162735459309426
29,4,17,-1,do_nothing,-0.046790743677954896
27,4,17,1,duck,2.084753305319836
26,4,17,1,do_nothing,1.979586432535541
26,4,17,1,jump,-0.010000000000000002
25,4,17,1,duck,2.5402275705329096
24,4,17,1,jump,4.878881100105141
22,4,17,1,jump,2.4940446224725465
21,4,17,1,duck,3.5741819515645066
20,4,17,1,duck,5.627894957586234
18,4,17,1,do_nothing,5.355366982716528
17,4,17,1,duck,5.078445063020337
16,4,17,1,duck,7.27397206068016
15,4,17,1,do_nothing,7.7532587641964685
13,4,17,1,do_nothing,9.399649540685548
12,4,17,1,jump,4.6029975228114175
28,6,34,0,jump,-0.019000000000000003
27,6,34,0,do_nothing,0.061554626461331474
25,6,34,0,do_nothing,1.1187895065670432
23,6,34,-1,duck,0.024880803387931007
22,6,34,-1,jump,0.17496043161339206
20,6,34,-1,duck,0.1743531580758741
19,6,34,-1,jump,1.323346740004808
18,6,34,-1,duck,0.1325787132482158
17,6,34,-1,duck,0.1110710694424445
15,6,34,-1,do_nothing,0.10137053968115266
14,6,34,-1,jump,0.09122135263081393
13,6,34,-1,duck,0.10432441500622773
9,6,34,-1,duck,0.042799467011032
6,6,34,1,jump,13.206631509754896
5,6,34,1,jump,13.662917784958205
4,6,34,1,do_nothing,12.511076484440574
3,6,34,1,duck,11.658855556251098
2,6,34,1,jump,11.42968451278597
0,6,34,1,jump,11.962904429763405
-1,6,34,1,duck,10.20461020675027
-2,6,34,1,duck,9.444202911603808
-4,6,34,1,do_nothing,2.2346141999163045
-5,6,34,1,jump,-0.054017547679332326
29,4,25,-1,do_nothing,-0.020791000000000004
27,4,25,-1,jump,0.9735704108743507
26,4,25,-1,do_nothing,1.2085584360878008
24,4,25,1,do_nothing,5.6324203044454855
22,4,25,1,duck,6.174753394674045
21,4,25,1,duck,4.740597315069522
20,4,25,1,duck,3.3140320607050864
19,4,25,1,duck,4.621923445320643
18,4,25,1,duck,5.70017930490028
17,4,25,1,jump,7.709075580833142
16,4,25,1,jump,0.027910000000000004
15,4,25,1,jump,6.021323578440265
13,4,25,1,duck,5.895983112148472
12,4,25,1,do_nothing,5.475508070623394
29,5,25,1,jump,-0.06404126822422876
28,5,25,1,do_nothing,-0.07559729971590864
28,5,25,1,duck,-0.0722823199920077
26,5,25,1,jump,-0.032031277685029814
29,5,25,-1,jump,-0.06795367053480961
26,5,25,1,duck,-0.03118845925299557
28,6,51,-1,jump,-0.05186698386045973
27,6,51,-1,do_nothing,-0.03149570214589675
26,6,51,-1,duck,-0.02401090623412775
24,6,51,-1,jump,0.1457464666202617
23,6,51,-1,do_nothing,0.010000000000000002
22,6,51,-1,do_nothing,0.1371832366521074
21,6,51,-1,duck,1.1169283983765168
19,6,51,-1,do_nothing,2.6112389771338496
18,6,51,-1,do_nothing,0.14493717180761373
17,6,51,-1,do_nothing,1.1396715210615698
12,6,51,1,duck,8.13738569096289
10,6,51,1,jump,0.010000000000000002
9,6,51,1,jump,9.213334530408844
8,6,51,1,jump,7.530579106080255
7,6,51,1,do_nothing,8.318252927542636
5,6,51,1,duck,7.821363977049031
4,6,51,1,jump,9.194540556711083
3,6,51,1,do_nothing,9.221442573655182
2,6,51,1,jump,9.883953131528992
0,6,51,1,do_nothing,11.896754071627713
-1,6,51,1,jump,0.010900000000000002
-2,6,51,1,jump,13.28700973792487
-5,6,51,0,duck,9.898661711972409
-6,6,51,0,jump,7.926506945081336
-7,6,51,0,do_nothing,-0.018532080440602613
29,4,25,0,jump,-0.021341488233762106
28,4,25,-1,do_nothing,-0.03849492021605941
26,4,25,-1,jump,-0.0184249
24,4,25,-1,do_nothing,0.10018195904860591
15,4,25,-1,duck,0.011944090000000003
29,6,34,-1,jump,-0.0615900949339534
29,6,34,-1,duck,-0.06401857638696437
28,6,34,-1,do_nothing,-0.05646581828596378
27,6,34,-1,jump,-0.04334421705099756
23,6,34,-1,do_nothing,0.1843615471298191
9,6,34,1,jump,7.823494437150642
8,6,34,1,do_nothing,10.069051738971137
28,5,25,0,jump,-0.045117281866647485
17,5,25,-1,do_nothing,0.013979385100000003
30,5,17,1,duck,-0.29733488534390434
30,5,17,1,do_nothing,-0.05534501568225267
30,5,17,0,do_nothing,0.8138751592657334
30,5,17,0,duck,0.2808591952842969
29,5,17,0,jump,-0.010000000000000002
27,5,17,0,do_nothing,0.0012818710000000004
