Speed,Time To Collision,Obs Gap,Obs Width,Is Jumping,Is Ducking,Obs Above Ground,Action,Q Value
12,7,3,1,0,1,0,duck_off,0.9596739450222223
12,-3,3,1,0,0,0,duck_off,1.370655052
12,17,5,2,0,0,0,jump,0.5050002
12,-2,5,2,1,0,0,duck_on,-0.021182776005713125
12,24,6,2,0,0,0,duck_off,3.2285399190782815
12,14,6,2,0,0,0,jump,3.7321288331283893
12,27,5,1,1,0,0,jump,0.5
12,17,5,1,0,1,0,jump,0.5
12,7,5,1,0,1,0,do_nothing,0.95
12,15,5,2,0,0,0,do_nothing,1.3645
12,6,5,2,0,0,0,duck_off,1.355
12,15,6,2,0,0,0,do_nothing,2.6461069442222223
12,6,6,2,0,0,0,jump,2.3426394542723927
12,-4,6,2,1,0,0,duck_off,-0.016488595274593648
12,9,5,2,1,1,0,do_nothing,0.5000202
12,13,6,3,0,1,0,duck_off,3.25751263033293
12,0,6,5,0,0,0,duck_off,0.012387047482835305
12,23,6,3,1,0,0,duck_off,1.7407475896222224
12,13,6,3,0,0,0,do_nothing,2.056371878642222
12,27,3,1,1,0,0,duck_on,0.5
12,17,3,1,0,1,0,duck_off,0.5
12,7,3,1,0,0,0,duck_on,0.5
12,-2,3,1,0,1,0,jump,0.5
12,17,5,2,0,1,0,do_nothing,0.95
12,8,5,2,0,1,0,duck_on,0.95
12,-4,6,2,1,0,0,do_nothing,-0.019238751404494395
12,20,6,3,1,0,0,duck_on,0.9550000000000001
12,10,6,3,0,1,0,duck_off,0.95
12,1,6,3,0,0,0,duck_on,-0.019778569586953097
12,4,6,2,0,0,0,duck_off,0.0022222222222222222
12,4,6,2,1,0,0,do_nothing,-0.020401584908379275
12,26,5,1,0,1,0,do_nothing,0.9550500000000001
12,16,5,1,0,1,0,duck_on,0.9545
12,6,4,2,0,1,0,duck_off,0.5000203820000001
12,26,6,5,1,0,0,duck_off,0.5
12,16,6,5,1,0,0,do_nothing,0.5
12,7,6,5,0,0,0,do_nothing,0.5
12,-3,6,5,0,0,0,do_nothing,0.0022222222222222222
12,18,6,2,1,0,0,jump,0.9595
12,8,6,2,1,0,0,jump,1.355
12,-2,6,2,1,0,0,duck_off,-0.02083118143173958
12,15,4,1,0,0,0,jump,1.7378432163895607
12,6,5,2,0,1,0,jump,0.5
12,4,4,2,1,0,0,duck_on,-0.020497356618085952
12,13,6,3,0,1,0,do_nothing,0.5
12,4,6,3,0,1,0,duck_on,0.5
12,-6,6,3,0,1,0,duck_on,-0.019774025843796308
12,25,6,3,1,0,0,jump,0.5
12,16,6,3,0,1,0,jump,0.95
12,6,6,3,0,1,0,duck_on,0.5
12,5,4,1,1,0,0,jump,-0.01045807167282478
12,21,6,5,1,0,0,duck_on,0.505
12,2,6,5,0,1,0,jump,0.5
12,-7,6,5,0,1,0,duck_on,-0.01977784375387298
12,17,5,2,1,0,0,duck_off,0.9621951458000001
12,10,6,5,0,0,0,duck_on,0.5
12,1,6,5,0,1,0,jump,-0.019787688553582903
12,25,6,3,0,1,0,duck_off,0.5
12,16,6,3,0,0,0,duck_off,0.95
12,6,6,3,0,0,0,jump,0.5
12,-3,6,3,1,0,0,do_nothing,-0.016521544391042513
12,23,6,5,1,0,0,do_nothing,0.9710223491850001
12,14,6,5,0,0,0,jump,2.40151142665
12,-5,6,5,1,0,0,do_nothing,-0.019775316133892537
12,6,4,1,1,0,0,jump,1.3830737279244927
12,19,4,2,0,0,0,duck_off,0.9550000000000001
12,10,4,2,0,0,0,do_nothing,0.95
12,6,4,2,1,0,0,do_nothing,1.3599999999999999
12,-4,4,2,0,1,0,duck_off,0.50002
12,10,6,5,0,1,0,duck_off,2.051084562783569
12,16,5,2,0,0,0,duck_off,0.505
12,14,5,2,1,1,0,do_nothing,0.5
12,2,6,5,1,0,0,do_nothing,0.9500222222222222
12,-8,6,5,1,0,0,do_nothing,0.004222222222222222
12,-4,6,2,1,0,0,jump,1.3640505094906135
12,20,5,2,0,1,0,duck_off,0.5
12,11,5,2,0,0,0,duck_off,0.5
12,30,3,1,0,1,0,jump,-0.019794494173580784
12,11,6,5,0,0,0,do_nothing,2.1036961955014446
12,25,4,2,0,0,0,duck_off,0.9550500000000001
12,15,4,2,0,0,0,jump,0.964
12,-4,4,2,1,0,0,duck_on,0.9765674691
12,27,6,2,1,0,0,duck_on,1.3595000000000002
12,17,6,2,0,1,0,jump,0.9550000000000001
12,8,6,2,0,1,0,jump,1.7195
12,16,6,2,0,0,0,duck_on,1.3690006222222224
12,6,6,2,0,1,0,duck_on,2.8739268207452695
12,15,3,1,0,1,0,duck_off,0.5
12,6,3,1,0,0,0,duck_off,0.9641719100990833
12,27,5,1,0,1,0,do_nothing,0.5
12,18,5,1,0,1,0,duck_off,0.5
12,9,5,1,0,0,0,duck_on,0.5
